Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Western Australia,Perth,Engineering Science,Engineering,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/engineering-science,English,A,"The Engineering Science major is your pathway to the Master of Professional Engineering and a global career as a professional engineer. From designing the world's largest built structures to its smallest electronic devices, and from moving people across the globe to sustaining their local environment, engineering affects every aspect of our lives. The Engineering Science major provides you with fundamental engineering knowledge and develops your scientific, communication and problem-solving skills through a combination of practical, hands-on courses, industry projects and theoretical foundations.",Electrical Engineer / Electronics Engineer / Engineer / Environmental Engineer,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Albany,Engineering Science,Engineering,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/engineering-science,English,A,"The Engineering Science major is your pathway to the Master of Professional Engineering and a global career as a professional engineer. From designing the world's largest built structures to its smallest electronic devices, and from moving people across the globe to sustaining their local environment, engineering affects every aspect of our lives. The Engineering Science major provides you with fundamental engineering knowledge and develops your scientific, communication and problem-solving skills through a combination of practical, hands-on courses, industry projects and theoretical foundations.",Electrical Engineer / Electronics Engineer / Engineer / Environmental Engineer,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,Anthropology and Sociology,Humanities and Social Science,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/anthropology-and-sociology,English,A,"This major incorporates the study of the cultures, institutions, social behaviours, economies and systems of meaning of all human societies, with a focus on understanding Australian society and its relationship to the world. On a personal level, this major offers a perspective on challenges in your everyday life, and encourages you to question your taken-for-granted beliefs and expectations.",Social Researcher / Policy Analyst / Journalist,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Albany,Anthropology and Sociology,Humanities and Social Science,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/anthropology-and-sociology,English,A,"This major incorporates the study of the cultures, institutions, social behaviours, economies and systems of meaning of all human societies, with a focus on understanding Australian society and its relationship to the world. On a personal level, this major offers a perspective on challenges in your everyday life, and encourages you to question your taken-for-granted beliefs and expectations.",Social Researcher / Policy Analyst / Journalist,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,Humanities in Health and Medicine,English,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/humanities-in-health-and-medicine,English,A,"The major in Humanities in Health and Medicine is an interdisciplinary, humanistic and cultural study of health, illness, health care and the human body, mind and spirit. You'll be prepared to care for people by bringing together the traditions of humanities, inquiry, compassion and judgement to bear on the management and on the promotion of health and the treatment of illness.",Social Researcher / Policy Analyst / Journalist,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,Cybersecurity,Computer Science & Information Technology,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/cybersecurity,English,A,"With a major in Cybersecurity from UWA, you’ll be ready for a range of specialist cybersecurity roles. With industryintegrated learning, you’ll gain the knowledge, techniques, tools and practical skills to lead creation, implementation and management of secure computer systems, protecting people and their data from cyber attacks.","Almost every Information and Communications Technology career path encompasses some aspect of security, including and beyond the job roles of cybersecurity specialist, information technology specialist, software engineer or information specialist.",Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,Classics and Ancient History,Humanities and Social Science,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/classics-and-ancient-history,English,A,"Classics and Ancient History is the study of the languages, literatures, history and material culture of the ancient Greek and Roman civilisations. This major combines study of all these aspects of the two civilisations to give you a holistic picture of this vibrant and eternally relevant era.",Academic / Historian / Author,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Albany,Agricultural Science,Agriculture,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/agricultural-science,English,A,"The rapidly growing population, changing climate and limited land and fresh water resources are impacting on the ability of agriculture to meet demand. Science-based solutions are required to achieve these worldwide goals and for industry and community development. A major in Agricultural Science provides you with the tools for diverse career options in the booming agriculture industry. Our staff are leading research scientists and student-focused lecturers who are passionate about agriculture and have strong links with industry representatives.",Agricultural Consultant / Agricultural Scientist / Environmental Consultant / Environmental Manager,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,Agricultural Science,Agriculture,,,AUD,year,3,years,yes,yes,year 12,IELTS,,80,6.5,,https://www.uwa.edu.au/study/courses/agricultural-science,English,A,"The rapidly growing population, changing climate and limited land and fresh water resources are impacting on the ability of agriculture to meet demand. Science-based solutions are required to achieve these worldwide goals and for industry and community development. A major in Agricultural Science provides you with the tools for diverse career options in the booming agriculture industry. Our staff are leading research scientists and student-focused lecturers who are passionate about agriculture and have strong links with industry representatives.",Agricultural Consultant / Agricultural Scientist / Environmental Consultant / Environmental Manager,Australia,no,yes,no,yes,no,
BA,University of Western Australia,Perth,International Cybersecurity,Computer Science & Information Technology,,,AUD,year,4,years,yes,yes,year 12,IELTS,,92,6.5,,https://www.uwa.edu.au/study/courses/international-cybersecurity,English,A,"This course prepares you for specialist cybersecurity roles with a global perspective. You’ll gain the practical skills and knowledge to lead creation, implementation and management of secure computer systems across a range of exciting career paths. You’ll be able to protect people and their data from cyber attacks as you draw on your studies across international relations, ethics and law.","Almost every Information and Communications Technology career path encompasses some aspect of security, including and beyond the job roles of cybersecurity specialist, information technology specialist, software engineer or information specialist.",Australia,no,yes,no,yes,no,
