Prerequisite_1_grade,Face_to_Face,Course,Blended,Faculty,Availability,Int_Fees,Online,Local_Fees,Part_Time,Prerequisite_2_grade,Full_Time,Duration_Time,Remarks,Website,City,Prerequisite_1,Level_Code,Course_Lang,Distance,Currency,Description,Offline,Currency_Time,Prerequisite_2,Duration,University,Career_Outcomes,Prerequisite_3,Country,Prerequisite_3_grade
6.5,yes,Doctor of Podiatry,no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-podiatry,Perth,IELTS,DPG,English,no,AUD,"The course is available to suitably qualified and experienced graduate podiatrists who wish to broaden their knowledge base of podiatric medicine via two semesters of coursework and practicum units, and to then engage in four semesters of independent doctoral-level clinical research on a topic of interest.",yes,year,,3,Australian Catholic University,Podiatrist,,Australia,
6.5,yes,Master of Research,no,Engineering,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-research,Perth,IELTS,PG,English,no,AUD,"The Master of Research is a program of independent, supervised research that can be taken in any discipline for which appropriate supervision is available and is assessed solely on the basis of a thesis.",yes,year,,2,Australian Catholic University,Podiatrist,,Australia,
6.5,yes,Doctor of Philosophy and Master of Industrial and Organisational Psychology,no,Humanities and Social Science,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-industrial-and-organisational-psychology,Perth,IELTS,DPG,English,no,AUD,"Industrial and Organisational Psychology is a specialist area that applies psychological knowledge and skills to workplaces, with the aim of improving organisational effectiveness and the quality of work life.",yes,year,,4,Australian Catholic University,Academic / Analyst / Business Administration Manager / Health and Welfare Services Manager,,Australia,
6.5,yes,Master of Philosophy,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-philosophy,Perth,IELTS,PG,English,yes,AUD,The MPhil is a highly flexible course that mirrors the structure and breadth of the Doctor of Philosophy.,yes,year,,2,Australian Catholic University,Academic / Accountant / Actuary / Advertising Professional,,Australia,
6.5,yes,Master of Arts (Creative Writing),no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-arts,Perth,IELTS,PG,English,yes,AUD,This research degree is designed for published creative writers in any genre who wish to advance their academic and creative skills.,yes,year,,2,Australian Catholic University,Author,,Australia,
6.5,yes,Doctor of Education,no,Education,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-education,Perth,IELTS,DPG,English,no,AUD,"This professional doctorate program is designed for research-orientated individuals working in educational roles, who wish to make a contribution to knowledge in the context of professional practice.",yes,year,,3,Australian Catholic University,School Principal / University Lecturer / Academic / Education Manager,,Australia,
6.5,yes,Master of Science,no,Science and Health Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-science,Perth,IELTS,PG,English,no,AUD,"This course provides in-depth study in the chosen specialisation. The course adds significantly to a relevant undergraduate degree through coursework and major research in the approved area of interest within the program. By enhancing the student's knowledge of their chosen field of study through advanced coursework units and extensive, independent research, the Master of Science (Thesis and Coursework) opens up a range of possible career opportunities, depending on the student's area of specialisation. This is a Research Training Program course for domestic students.",yes,year,,1,Australian Catholic University,Academic / Agricultural Scientist / Biologist / Botanist,,Australia,
6.5,yes,Doctor of Philosophy,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy,Perth,IELTS,DPG,English,yes,AUD,"The PhD is a program of independent, supervised research that is assessed solely on the basis of a thesis, sometimes including a creative work component, that is examined externally. The work presented for a PhD must be a substantial and original contribution to scholarship, demonstrating mastery of the subject of interest as well as an advance in that field of knowledge.",yes,year,,4,Australian Catholic University,Accountant / Actuary / Advertising Professional / Advertising and Public Relations Manager,,Australia,
6.5,yes,Doctor of Juridical Science,no,Law,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-juridical-science,Perth,IELTS,DPG,English,no,AUD,This is a professional doctorate consisting of a combination of coursework units and a thesis.,yes,year,,3,Australian Catholic University,Lawyer,,Australia,
6.5,yes,Master of Surgery,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-surgery,Perth,IELTS,PG,English,no,AUD,"The UWA Master of Surgery (MS) course is a unique and innovative program for junior doctors who are pursuing a career in Surgery. In addition to undertaking academic competencies, students gain practical experience by participating in advanced surgical skills workshops in a specialised training lab environment. ",yes,year,,1.5,Australian Catholic University,Surgeon,,Australia,
6.5,yes,Doctor of Philosophy and Master of Clinical Neuropsychology,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-clinical-neuropsychology,Perth,IELTS,DPG,English,no,AUD,"This course aims to produce psychologists who have the necessary academic and practical foundations, skills and experience to become competent clinicians grounded in the scientist-practitioner tradition. This is achieved through the provision of specialist training in clinical neuropsychological assessment, research and intervention skills. 
 ",yes,year,,4,Australian Catholic University,Psychologist / Clinical Neuropsychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer,,Australia,
6.5,yes,Doctor of Philosophy and Master of Clinical Psychology,no,Humanities and Social Science,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-clinical-psychology,Perth,IELTS,DPG,English,no,AUD,"The School of Psychological Science is a leader in clinical psychology training, with half a century of experience combined with a strong commitment to ongoing program innovation in health care.
This combined course is intended for students who wish to acquire the skills to practice as a clinical psychologist, whilst making an original and substantial contribution to knowledge concerning clinical psychology through their doctoral research.",yes,year,,4,Australian Catholic University,Psychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,,Australia,
