Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Australian Catholic University,Perth,Doctor of Podiatry,Science and Health Science,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-podiatry,English,A,"The course is available to suitably qualified and experienced graduate podiatrists who wish to broaden their knowledge base of podiatric medicine via two semesters of coursework and practicum units, and to then engage in four semesters of independent doctoral-level clinical research on a topic of interest.",Podiatrist,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Research,Engineering,,,AUD,year,2,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-research,English,A,"The Master of Research is a program of independent, supervised research that can be taken in any discipline for which appropriate supervision is available and is assessed solely on the basis of a thesis.",Podiatrist,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Philosophy and Master of Industrial and Organisational Psychology,Humanities and Social Science,,,AUD,year,4,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-industrial-and-organisational-psychology,English,A,"Industrial and Organisational Psychology is a specialist area that applies psychological knowledge and skills to workplaces, with the aim of improving organisational effectiveness and the quality of work life.",Academic / Analyst / Business Administration Manager / Health and Welfare Services Manager,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Philosophy,Humanities and Social Science,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-philosophy,English,A,The MPhil is a highly flexible course that mirrors the structure and breadth of the Doctor of Philosophy.,Academic / Accountant / Actuary / Advertising Professional,Australia,no,yes,yes,yes,no,
PG,Australian Catholic University,Perth,Master of Arts (Creative Writing),Computer Science & Information Technology,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-arts,English,A,This research degree is designed for published creative writers in any genre who wish to advance their academic and creative skills.,Author,Australia,no,yes,yes,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Education,Education,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-education,English,A,"This professional doctorate program is designed for research-orientated individuals working in educational roles, who wish to make a contribution to knowledge in the context of professional practice.",School Principal / University Lecturer / Academic / Education Manager,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Science,Science and Health Science,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-science,English,A,"This course provides in-depth study in the chosen specialisation. The course adds significantly to a relevant undergraduate degree through coursework and major research in the approved area of interest within the program. By enhancing the student's knowledge of their chosen field of study through advanced coursework units and extensive, independent research, the Master of Science (Thesis and Coursework) opens up a range of possible career opportunities, depending on the student's area of specialisation. This is a Research Training Program course for domestic students.",Academic / Agricultural Scientist / Biologist / Botanist,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Philosophy,Humanities and Social Science,,,AUD,year,4,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy,English,A,"The PhD is a program of independent, supervised research that is assessed solely on the basis of a thesis, sometimes including a creative work component, that is examined externally. The work presented for a PhD must be a substantial and original contribution to scholarship, demonstrating mastery of the subject of interest as well as an advance in that field of knowledge.",Accountant / Actuary / Advertising Professional / Advertising and Public Relations Manager,Australia,no,yes,yes,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Juridical Science,Law,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-juridical-science,English,A,This is a professional doctorate consisting of a combination of coursework units and a thesis.,Lawyer,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Surgery,Medical and Nursing,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-surgery,English,A,"The UWA Master of Surgery (MS) course is a unique and innovative program for junior doctors who are pursuing a career in Surgery. In addition to undertaking academic competencies, students gain practical experience by participating in advanced surgical skills workshops in a specialised training lab environment. ",Surgeon,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Philosophy and Master of Clinical Neuropsychology,Humanities and Social Science,,,AUD,year,4,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-clinical-neuropsychology,English,A,"This course aims to produce psychologists who have the necessary academic and practical foundations, skills and experience to become competent clinicians grounded in the scientist-practitioner tradition. This is achieved through the provision of specialist training in clinical neuropsychological assessment, research and intervention skills. 
 ",Psychologist / Clinical Neuropsychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Philosophy and Master of Clinical Psychology,Humanities and Social Science,,,AUD,year,4,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-clinical-psychology,English,A,"The School of Psychological Science is a leader in clinical psychology training, with half a century of experience combined with a strong commitment to ongoing program innovation in health care.
This combined course is intended for students who wish to acquire the skills to practice as a clinical psychologist, whilst making an original and substantial contribution to knowledge concerning clinical psychology through their doctoral research.",Psychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,Australia,no,yes,no,yes,no,
SHORT COURSES,Australian Catholic University,Perth,Master of Health Professions Education - Thesis and Coursework,English,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---thesis-and-coursework,English,A,"For health professionals who seek to develop their knowledge and skills in health professional education. In addition, students are able to pursue in depth research.",Health Diagnostic and Promotion Professional / Academic,Australia,yes,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Forensic Science,Law,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-forensic-science,English,A,This course provides students with practical experience in independent scientific experimentation and research through the completion of a research project of direct relevance to a forensic discipline.,Forensic Scientist,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Podiatric Medicine,Medical and Nursing,,,AUD,year,3,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-podiatric-medicine,English,A,"Most graduate podiatrists will work in private practice, clinics or hospitals and see an interesting and wide range of patients with foot and leg problems often associated with other medical conditions. Many podiatrists develop expertise in a specific area of podiatry, such as the management of sporting injuries or podiatric biomechanics, treatment of the high-risk foot, the elderly or children's foot and leg problems. Podiatrists are independent practitioners with the right to perform minor foot surgery, refer patients for relevant investigative tests and to administer drugs necessary for the treatment of podiatric conditions.",Podiatrist,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Architecture (Design),Computer Science & Information Technology,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-architecture-design,English,A,Students in this course undertake a program of individually supervised research leading to the presentation of an exhibition of architectural design that is equivalent in scope to the fully developed design of a building of major cultural significance.,Architect,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Aboriginal Health,English,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-aboriginal-health,English,A,"Enables students to appropriately investigate current issues regarding Aboriginal health and health care with due consideration to Aboriginal knowledge, biomedical knowledge and research. ",Doctor (Medical Practitioner) / Health Promotion Officer / Health and Welfare Services Manager,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Social Work,Humanities and Social Science,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-social-work,English,A,The Doctor of Social Work is a research-based and research-driven advanced course for qualified social workers committed to their continuing professional education.,Social Worker,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Advanced Social Work,Humanities and Social Science,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-advanced-social-work,English,A,This degree provides professional and research skills for graduates and professionals working in social work or social administration.,Social Worker,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Clinical Pharmacy,Medical and Nursing,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-clinical-pharmacy,English,A,This degree provides practising clinical pharmacists with a research-orientated qualification in a specialty area of clinical pharmacy practice.,Pharmacist,Australia,no,yes,no,yes,no,
